run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-sd	128	128	0	41.637343	30.245734	14.806415	31.037892	38.387817	40.002975	41.569178	3.074164
2	asd-sd	128	128	0	37.305379	26.607646	12.757417	27.263813	34.939638	36.465927	37.244652	3.431141
3	asd-sd	128	128	0	37.865692	26.890576	12.382300	27.604697	35.427828	36.706921	37.826858	3.380369
4	asd-sd	128	128	0	36.948725	26.277946	12.701728	26.485811	34.050030	35.544855	36.911303	3.464260
5	asd-sd	128	128	0	36.457028	25.877818	9.576298	26.260485	33.946924	35.350420	36.412303	3.510983
