run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-pure-nonsd	64	64	0	17.384926	12.698319	5.860129	12.465803	17.371299	17.378432	17.383573	3.681350
2	asd-pure-nonsd	64	64	0	17.218959	12.463315	5.625086	12.304902	17.201672	17.211908	17.215334	3.716833
3	asd-pure-nonsd	64	64	0	17.802831	12.972470	6.013212	12.954203	17.786858	17.795814	17.800433	3.594934
4	asd-pure-nonsd	64	64	0	17.482290	12.759763	5.782604	12.702429	17.465876	17.475900	17.480001	3.660848
5	asd-pure-nonsd	64	64	0	17.832604	13.172843	6.227976	13.087450	17.772975	17.815651	17.828006	3.588932
