run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-pure-sd	4	4	0	5.132663	4.451964	4.139198	4.227455	5.132497	5.132497	5.132497	0.779322
2	asd-pure-sd	4	4	0	5.277961	4.442775	4.132798	4.164077	5.277448	5.277448	5.277448	0.757868
3	asd-pure-sd	4	4	0	4.924849	4.112149	3.809977	3.842226	4.924544	4.924544	4.924544	0.812208
4	asd-pure-sd	4	4	0	5.238457	4.398344	4.088184	4.118209	5.236818	5.236818	5.236818	0.763584
5	asd-pure-sd	4	4	0	3.925426	3.882877	3.838600	3.868807	3.924977	3.924977	3.924977	1.018998
