run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-pure-nonsd	16	16	0	10.474732	6.961374	4.933141	6.115348	9.345414	10.472070	10.472070	1.527485
2	asd-pure-nonsd	16	16	0	10.200504	6.839528	4.671665	5.973911	9.258526	10.198954	10.198954	1.568550
3	asd-pure-nonsd	16	16	0	10.099411	6.738064	4.589208	5.874578	9.150682	10.096573	10.096573	1.584251
4	asd-pure-nonsd	16	16	0	10.194178	6.808027	4.651261	5.858366	10.187131	10.189854	10.189854	1.569523
5	asd-pure-nonsd	16	16	0	10.335131	6.940377	4.737157	6.061893	9.384884	10.331574	10.331574	1.548118
