run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-pure-sd	16	16	0	8.160599	5.985014	3.848542	5.850442	7.345501	8.155854	8.155854	1.960640
2	asd-pure-sd	16	16	0	7.710504	5.465434	3.282628	5.230509	7.040744	7.704683	7.704683	2.075091
3	asd-pure-sd	16	16	0	7.740407	5.497319	3.317289	5.267627	7.071718	7.738223	7.738223	2.067075
4	asd-pure-sd	16	16	0	7.760308	5.512255	3.326346	5.284449	7.086466	7.756463	7.756463	2.061774
5	asd-pure-sd	16	16	0	7.760816	5.516619	3.326847	5.281672	7.091178	7.759240	7.759240	2.061639
