run_id	label	request_index	sample_index	start_ns	end_ns	jct_s	status	http_code	json_path
4	specsys-sglang-nonsd	6	6	1785223449075145537	1785223454009317943	4.934172	0	200	/home/user/vllm/logs/speed_test/specsys-sglang-nonsd_b8_speed_tp2/run4_specsys-sglang-nonsd_6.json
4	specsys-sglang-nonsd	7	7	1785223449076859977	1785223458457430661	9.380571	0	200	/home/user/vllm/logs/speed_test/specsys-sglang-nonsd_b8_speed_tp2/run4_specsys-sglang-nonsd_7.json
5	specsys-sglang-nonsd	0	0	1785223463009613748	1785223468829532724	5.819919	0	200	/home/user/vllm/logs/speed_test/specsys-sglang-nonsd_b8_speed_tp2/run5_specsys-sglang-nonsd_0.json
5	specsys-sglang-nonsd	1	1	1785223463009613824	1785223470784278300	7.774664	0	200	/home/user/vllm/logs/speed_test/specsys-sglang-nonsd_b8_speed_tp2/run5_specsys-sglang-nonsd_1.json
5	specsys-sglang-nonsd	2	2	1785223463009900042	1785223469547549241	6.537649	0	200	/home/user/vllm/logs/speed_test/specsys-sglang-nonsd_b8_speed_tp2/run5_specsys-sglang-nonsd_2.json
5	specsys-sglang-nonsd	3	3	1785223463010084866	1785223468158433644	5.148349	0	200	/home/user/vllm/logs/speed_test/specsys-sglang-nonsd_b8_speed_tp2/run5_specsys-sglang-nonsd_3.json
5	specsys-sglang-nonsd	4	4	1785223463010304080	1785223467144072522	4.133768	0	200	/home/user/vllm/logs/speed_test/specsys-sglang-nonsd_b8_speed_tp2/run5_specsys-sglang-nonsd_4.json
5	specsys-sglang-nonsd	5	5	1785223463010930285	1785223468305841968	5.294912	0	200	/home/user/vllm/logs/speed_test/specsys-sglang-nonsd_b8_speed_tp2/run5_specsys-sglang-nonsd_5.json
5	specsys-sglang-nonsd	6	6	1785223463012134668	1785223467934501356	4.922367	0	200	/home/user/vllm/logs/speed_test/specsys-sglang-nonsd_b8_speed_tp2/run5_specsys-sglang-nonsd_6.json
5	specsys-sglang-nonsd	7	7	1785223463012263111	1785223472380221427	9.367958	0	200	/home/user/vllm/logs/speed_test/specsys-sglang-nonsd_b8_speed_tp2/run5_specsys-sglang-nonsd_7.json
