run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	specsys-sglang-nonsd	8	8	0	9.373827	6.103046	4.145043	5.304690	9.372760	9.372760	9.372760	0.853440
2	specsys-sglang-nonsd	8	8	0	9.370370	6.123805	4.133653	5.293775	9.364942	9.364942	9.364942	0.853755
3	specsys-sglang-nonsd	8	8	0	9.407637	6.143186	4.147772	5.309795	9.403794	9.403794	9.403794	0.850373
4	specsys-sglang-nonsd	8	8	0	9.385824	6.135936	4.144716	5.305826	9.380571	9.380571	9.380571	0.852349
5	specsys-sglang-nonsd	8	8	0	9.370608	6.124948	4.133768	5.294912	9.367958	9.367958	9.367958	0.853733
