run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-pure-sd	32	32	0	13.533475	10.205816	4.791115	9.912921	13.019831	13.199534	13.526271	2.364507
2	asd-pure-sd	32	32	0	13.094439	9.879858	5.842547	9.343080	12.427458	12.810321	13.089836	2.443785
3	asd-pure-sd	32	32	0	13.104129	9.992341	6.128001	9.574672	12.371556	13.024973	13.097401	2.441978
4	asd-pure-sd	32	32	0	13.042152	9.830334	5.820658	9.291336	12.376981	12.758163	13.037657	2.453583
5	asd-pure-sd	32	32	0	13.200130	9.985403	5.973311	9.446696	12.536253	12.913129	13.193702	2.424219
