run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	sglang-nonsd	64	64	0	16.084851	11.619180	5.754929	11.279118	15.216250	16.051185	16.081247	3.978899
2	sglang-nonsd	64	64	0	15.076764	10.539298	5.499446	10.385504	15.041249	15.058061	15.070101	4.244943
3	sglang-nonsd	64	64	0	15.276430	10.763242	5.519779	10.713573	14.907342	15.266831	15.272204	4.189460
4	sglang-nonsd	64	64	0	15.288380	10.725443	4.820376	10.385978	15.253441	15.272367	15.281869	4.186186
5	sglang-nonsd	64	64	0	15.414466	10.886475	4.918201	10.784614	15.397602	15.399646	15.412648	4.151944
