run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	specsys-sglang-nonsd	64	64	0	15.654699	11.387081	5.655721	11.196810	15.622590	15.636561	15.644623	4.088229
2	specsys-sglang-nonsd	64	64	0	14.797206	10.556641	5.421282	10.615411	14.329824	14.761606	14.785042	4.325141
3	specsys-sglang-nonsd	64	64	0	14.960734	10.703155	5.429061	10.692992	14.494862	14.926177	14.949324	4.277865
4	specsys-sglang-nonsd	64	64	0	14.903821	10.627963	5.409988	10.704744	13.836856	14.888282	14.899228	4.294201
5	specsys-sglang-nonsd	64	64	0	14.855838	10.556027	5.429987	10.761354	13.449423	14.838862	14.849694	4.308071
