run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-sd	8	8	0	6.635469	4.754672	2.900427	4.580924	6.632789	6.632789	6.632789	1.205642
2	asd-sd	8	8	0	6.426633	4.451146	2.100818	4.372470	6.422661	6.422661	6.422661	1.244820
3	asd-sd	8	8	0	6.427006	4.453350	2.096305	4.372289	6.422898	6.422898	6.422898	1.244748
4	asd-sd	8	8	0	6.403820	4.432943	2.082414	4.353850	6.402399	6.402399	6.402399	1.249254
5	asd-sd	8	8	0	6.488403	4.477627	2.088956	4.397643	6.487062	6.487062	6.487062	1.232969
