run_id	label	request_index	sample_index	start_ns	end_ns	jct_s	status	http_code	json_path
1	asd-sd	0	0	1785144942476309584	1785144947114617001	4.638307	0	200	/home/user/vllm/logs/speed_test/sglang/asd-sd_b8_speed_tp2/run1_asd-sd_0.json
1	asd-sd	1	1	1785144942476891169	1785144948070950777	5.594060	0	200	/home/user/vllm/logs/speed_test/sglang/asd-sd_b8_speed_tp2/run1_asd-sd_1.json
1	asd-sd	2	2	1785144942476274060	1785144947057198188	4.580924	0	200	/home/user/vllm/logs/speed_test/sglang/asd-sd_b8_speed_tp2/run1_asd-sd_2.json
1	asd-sd	3	3	1785144942476783528	1785144946986099921	4.509316	0	200	/home/user/vllm/logs/speed_test/sglang/asd-sd_b8_speed_tp2/run1_asd-sd_3.json
1	asd-sd	4	4	1785144942478527359	1785144945378954104	2.900427	0	200	/home/user/vllm/logs/speed_test/sglang/asd-sd_b8_speed_tp2/run1_asd-sd_4.json
1	asd-sd	5	5	1785144942477913301	1785144947316047307	4.838134	0	200	/home/user/vllm/logs/speed_test/sglang/asd-sd_b8_speed_tp2/run1_asd-sd_5.json
1	asd-sd	6	6	1785144942478447217	1785144946821868658	4.343421	0	200	/home/user/vllm/logs/speed_test/sglang/asd-sd_b8_speed_tp2/run1_asd-sd_6.json
1	asd-sd	7	7	1785144942478954675	1785144949111743479	6.632789	0	200	/home/user/vllm/logs/speed_test/sglang/asd-sd_b8_speed_tp2/run1_asd-sd_7.json
2	asd-sd	0	0	1785144953639934409	1785144958012404887	4.372470	0	200	/home/user/vllm/logs/speed_test/sglang/asd-sd_b8_speed_tp2/run2_asd-sd_0.json
2	asd-sd	1	1	1785144953640464999	1785144958997238147	5.356773	0	200	/home/user/vllm/logs/speed_test/sglang/asd-sd_b8_speed_tp2/run2_asd-sd_1.json
2	asd-sd	2	2	1785144953642265504	1785144958073042664	4.430777	0	200	/home/user/vllm/logs/speed_test/sglang/asd-sd_b8_speed_tp2/run2_asd-sd_2.json
