run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-sd	64	64	0	18.178508	14.053017	8.274515	14.121899	17.210904	17.561106	18.168518	3.520641
2	asd-sd	64	64	0	18.327482	14.031152	8.326011	14.189515	16.755627	17.504765	18.297460	3.492024
3	asd-sd	64	64	0	18.100975	14.033987	6.718890	13.931083	16.955120	17.355507	18.088510	3.535721
4	asd-sd	64	64	0	18.175211	14.099588	6.729881	14.042285	17.444838	17.732071	18.170190	3.521280
5	asd-sd	64	64	0	17.982935	13.882073	8.214117	14.015318	16.959712	17.355526	17.978506	3.558930
