run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-pure-nonsd	32	32	0	15.325087	11.674531	7.525861	11.629648	14.175832	15.318095	15.321252	2.088080
2	asd-pure-nonsd	32	32	0	15.201307	11.560223	7.310351	11.403321	15.185131	15.190384	15.194344	2.105082
3	asd-pure-nonsd	32	32	0	15.578469	11.941438	7.695208	11.783440	15.562097	15.569671	15.573338	2.054117
4	asd-pure-nonsd	32	32	0	15.089770	11.448522	7.211375	11.295802	15.073276	15.081583	15.085357	2.120642
5	asd-pure-nonsd	32	32	0	15.893606	12.262838	7.917794	12.093584	15.877016	15.885493	15.886404	2.013388
