run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-nonsd	4	4	0	8.103581	6.617118	5.390599	6.108220	8.101738	8.101738	8.101738	0.493609
2	asd-nonsd	4	4	0	8.168010	6.660446	5.423788	6.140795	8.167390	8.167390	8.167390	0.489715
3	asd-nonsd	4	4	0	8.154760	6.658634	5.422927	6.143514	8.154466	8.154466	8.154466	0.490511
4	asd-nonsd	4	4	0	8.032727	6.671331	5.474354	6.201874	8.032224	8.032224	8.032224	0.497963
5	asd-nonsd	4	4	0	8.135257	6.633451	5.411150	6.109582	8.134806	8.134806	8.134806	0.491687
