run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	sglang-nonsd	4	4	0	8.280798	6.684331	5.420296	6.137191	8.280598	8.280598	8.280598	0.483045
2	sglang-nonsd	4	4	0	8.176280	6.661493	5.426116	6.140446	8.176122	8.176122	8.176122	0.489220
3	sglang-nonsd	4	4	0	8.311437	6.713384	5.449793	6.162299	8.311322	8.311322	8.311322	0.481265
4	sglang-nonsd	4	4	0	8.200783	6.675116	5.433401	6.151332	8.199956	8.199956	8.199956	0.487758
5	sglang-nonsd	4	4	0	8.175750	6.657585	5.422998	6.133099	8.175562	8.175562	8.175562	0.489252
