run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-sd	32	32	0	13.068410	9.806937	4.717339	9.662426	12.015865	12.484604	13.051586	2.448653
2	asd-sd	32	32	0	13.130871	9.926474	4.763283	9.846782	12.161523	12.638248	13.113169	2.437005
3	asd-sd	32	32	0	13.183678	10.060043	4.865269	9.830961	12.328933	12.769957	13.175727	2.427244
4	asd-sd	32	32	0	12.625651	9.940236	4.810595	9.809711	12.231710	12.310379	12.620530	2.534523
5	asd-sd	32	32	0	12.720495	9.996395	4.851047	9.854367	12.330870	12.404922	12.715674	2.515625
