run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-nonsd	16	16	0	10.467823	7.564906	4.225136	6.858060	10.302048	10.465131	10.465131	1.528494
2	asd-nonsd	16	16	0	11.169537	7.575213	5.109926	6.517983	11.165672	11.167957	11.167957	1.432468
3	asd-nonsd	16	16	0	11.207417	7.602194	5.111043	6.525755	11.203412	11.204522	11.204522	1.427626
4	asd-nonsd	16	16	0	11.220914	7.608657	5.097632	6.531024	11.216417	11.218194	11.218194	1.425909
5	asd-nonsd	16	16	0	11.150989	7.541173	5.069304	6.482877	11.147080	11.149021	11.149021	1.434850
