run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	sglang-nonsd	8	8	0	8.954455	6.614404	4.568856	6.402156	8.953020	8.953020	8.953020	0.893410
2	sglang-nonsd	8	8	0	8.936482	6.594769	4.549559	6.380791	8.934922	8.934922	8.934922	0.895207
3	sglang-nonsd	8	8	0	9.002229	6.652618	4.588868	6.442064	8.998730	8.998730	8.998730	0.888669
4	sglang-nonsd	8	8	0	8.910946	6.564048	4.516858	6.347624	8.909432	8.909432	8.909432	0.897772
5	sglang-nonsd	8	8	0	8.955334	6.603973	4.557633	6.393417	8.949989	8.949989	8.949989	0.893322
