run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-sd	16	16	0	7.155924	5.625146	2.932382	5.571907	6.878680	7.149028	7.149028	2.235910
2	asd-sd	16	16	0	7.382244	5.593525	3.527590	5.514946	7.090847	7.379544	7.379544	2.167363
3	asd-sd	16	16	0	7.400632	5.607330	3.526749	5.567100	7.109584	7.397577	7.397577	2.161977
4	asd-sd	16	16	0	7.090849	5.328544	3.368560	5.280019	6.794883	7.083930	7.083930	2.256429
5	asd-sd	16	16	0	7.039046	5.289237	3.329806	5.234713	6.749193	7.035687	7.035687	2.273035
