run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	asd-sd	4	4	0	5.845785	4.889482	4.394760	4.539104	5.845785	5.845785	5.845785	0.684254
2	asd-sd	4	4	0	4.875240	4.132383	3.841711	3.904929	4.874648	4.874648	4.874648	0.820472
3	asd-sd	4	4	0	4.823052	4.077911	3.792194	3.848230	4.822870	4.822870	4.822870	0.829350
4	asd-sd	4	4	0	4.835580	4.102038	3.857135	3.857291	4.834922	4.834922	4.834922	0.827202
5	asd-sd	4	4	0	4.839534	4.084879	3.793837	3.853139	4.837887	4.837887	4.837887	0.826526
