run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	sglang-purenonsd	32	32	0	12.994851	9.339178	4.868544	9.086381	12.985081	12.989621	12.990207	2.462514
2	sglang-purenonsd	32	32	0	12.528365	8.890177	4.450890	8.666046	11.303549	12.523327	12.523749	2.554204
3	sglang-purenonsd	32	32	0	12.512160	8.865986	4.450680	8.668059	11.298798	12.499758	12.505109	2.557512
4	sglang-purenonsd	32	32	0	12.379761	8.740456	4.405843	8.524689	11.168646	12.374298	12.376814	2.584864
5	sglang-purenonsd	32	32	0	12.465898	8.819687	4.440384	8.613514	11.257980	12.458954	12.460500	2.567003
