run_id	label	batch_size	ok_count	failed_count	batch_wall_s	avg_jct_s	min_jct_s	p50_jct_s	p90_jct_s	p95_jct_s	max_jct_s	throughput_jobs_per_s
1	sglang-nonsd	16	16	0	11.126259	7.379620	3.938169	6.534886	10.088437	11.122899	11.122899	1.438040
2	sglang-nonsd	16	16	0	9.990224	7.329013	5.027552	6.420852	9.713656	9.982992	9.982992	1.601566
3	sglang-nonsd	16	16	0	10.081313	7.408571	5.112321	6.507997	9.801081	10.074001	10.074001	1.587095
4	sglang-nonsd	16	16	0	9.993700	7.326972	5.033397	6.429762	9.718986	9.990460	9.990460	1.601009
5	sglang-nonsd	16	16	0	9.998667	7.326015	5.032351	6.423397	9.723385	9.995745	9.995745	1.600213
